ENT,DTTO FED,DTTO LOC,CVE,NOMBRE DE MUNICIPIO,SECCIÓN,CVE,TIPO DE SECCIÓN
7,9,01,102,Tuxtla Gutiérrez ,1603,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1604,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1605,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1607,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1608,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1609,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1610,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1611,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1612,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1618,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1619,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1620,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1621,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1622,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1623,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1624,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1625,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1626,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1627,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1628,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1629,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1630,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1631,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1653,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1655,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1656,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1657,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1659,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1660,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1661,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1662,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1663,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1684,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1685,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1686,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1750,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1751,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1754,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1930,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1931,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1932,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1933,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1934,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1935,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1936,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1937,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1938,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1939,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1940,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1941,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1942,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1943,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1944,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1945,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1946,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1947,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1948,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1949,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1950,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1951,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1952,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1953,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1954,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1955,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1956,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1957,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1958,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1959,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1960,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1961,2,Urbana
7,9,01,102,Tuxtla Gutiérrez ,1962,2,Urbana
